Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Chrome 125.0.0.0,,,15-06-2024 08:18:02,15-06-2024 08:18:05,3.038s,PASSED
,,,,,,,
Test Cases/Ftest1/TC1,Chrome 125.0.0.0,,,15-06-2024 08:18:02,15-06-2024 08:18:04,2.213s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,15-06-2024 08:18:02,15-06-2024 08:18:04,1.992s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,15-06-2024 08:18:04,15-06-2024 08:18:04,0.097s,PASSED
,,,,,,,
Test Cases/Ftest1/TC2,Chrome 125.0.0.0,,,15-06-2024 08:18:04,15-06-2024 08:18:05,0.733s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,15-06-2024 08:18:04,15-06-2024 08:18:05,0.634s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,15-06-2024 08:18:05,15-06-2024 08:18:05,0.088s,PASSED
