Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Chrome 125.0.0.0,,,14-06-2024 22:58:01,14-06-2024 22:58:04,2.788s,PASSED
,,,,,,,
Test Cases/Ftest1/TC1,Chrome 125.0.0.0,,,14-06-2024 22:58:01,14-06-2024 22:58:03,1.837s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 22:58:01,14-06-2024 22:58:03,1.599s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,14-06-2024 22:58:03,14-06-2024 22:58:03,0.106s,PASSED
,,,,,,,
Test Cases/Ftest1/TC2,Chrome 125.0.0.0,,,14-06-2024 22:58:03,14-06-2024 22:58:04,0.860s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 22:58:03,14-06-2024 22:58:04,0.736s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,14-06-2024 22:58:04,14-06-2024 22:58:04,0.111s,PASSED
