Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2,Chrome 125.0.0.0,,,15-06-2024 08:19:08,15-06-2024 08:19:10,2.098s,PASSED
,,,,,,,
Test Cases/Ftest1/TC10,Chrome 125.0.0.0,,,15-06-2024 08:19:08,15-06-2024 08:19:09,1.274s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,15-06-2024 08:19:08,15-06-2024 08:19:09,1.067s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,15-06-2024 08:19:09,15-06-2024 08:19:09,0.094s,PASSED
,,,,,,,
Test Cases/Ftest1/TC11,Chrome 125.0.0.0,,,15-06-2024 08:19:09,15-06-2024 08:19:10,0.754s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,15-06-2024 08:19:09,15-06-2024 08:19:10,0.641s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,15-06-2024 08:19:10,15-06-2024 08:19:10,0.096s,PASSED
