Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS3,Chrome 125.0.0.0,,,14-06-2024 22:57:00,14-06-2024 22:57:03,3.270s,PASSED
,,,,,,,
Test Cases/Ftest1/TC12,Chrome 125.0.0.0,,,14-06-2024 22:57:00,14-06-2024 22:57:02,2.123s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 22:57:00,14-06-2024 22:57:02,1.804s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,14-06-2024 22:57:02,14-06-2024 22:57:02,0.132s,PASSED
,,,,,,,
Test Cases/Ftest1/TC13,Chrome 125.0.0.0,,,14-06-2024 22:57:02,14-06-2024 22:57:03,0.997s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 22:57:02,14-06-2024 22:57:03,0.845s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,14-06-2024 22:57:03,14-06-2024 22:57:03,0.136s,PASSED
