Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2,Chrome 125.0.0.0,,,14-06-2024 22:58:06,14-06-2024 22:58:08,2.366s,PASSED
,,,,,,,
Test Cases/Ftest1/TC10,Chrome 125.0.0.0,,,14-06-2024 22:58:06,14-06-2024 22:58:08,1.403s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 22:58:06,14-06-2024 22:58:07,1.154s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,14-06-2024 22:58:07,14-06-2024 22:58:08,0.101s,PASSED
,,,,,,,
Test Cases/Ftest1/TC11,Chrome 125.0.0.0,,,14-06-2024 22:58:08,14-06-2024 22:58:08,0.879s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 22:58:08,14-06-2024 22:58:08,0.760s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,14-06-2024 22:58:08,14-06-2024 22:58:08,0.093s,PASSED
